RegionID,ActivityID,title,duration,fromPrice,largeImageURL,categories
18007,391088,Ali'i Luau Dinner Package with Admission to Polynesian Cultural Center,8h+,$121,//a.travel-assets.com/lxweb/media-vault/391088_l.jpeg?v=103991,"Attractions, Food & Drink, Nightlife, Show & Sport Tickets, Theme Parks"
18007,390706,Small-Group Pearl Harbor Memorials Tour with Lunch,8h,$127,//a.travel-assets.com/lxweb/media-vault/390706_l.jpeg?v=103991,Tours & Sightseeing
18007,385382,Hollywood Movie Sites & Ranch Tour,1h 30m,$49,//a.travel-assets.com/lxweb/media-vault/385382_l.jpeg?v=103991,Tours & Sightseeing
18007,379242,Blue Skies of Oahu Helicopter Tour,45m,$211,//a.travel-assets.com/lxweb/media-vault/379242_l.jpeg?v=103991,"Air, Balloon & Helicopter Tours"
18007,470264,Grand Circle Island Tour of Oahu,9h,$84,//a.travel-assets.com/lxweb/media-vault/470264_l.jpeg?v=103991,Tours & Sightseeing
18007,379642,Dolphin-Watching & Snorkeling Cruise,3h 30m,$149,//a.travel-assets.com/lxweb/media-vault/379642_l.jpeg?v=103991,"Cruises & Water Tours, Water Activities"
18007,228225,Go Oahu Card: 34 Attractions in 1 Card,1d,$69,//a.travel-assets.com/lxweb/media-vault/228225_l.jpeg?v=103991,Sightseeing Passes
18007,390496,Paradise Cove Luau,6h,$108,//a.travel-assets.com/lxweb/media-vault/390496_l.jpeg?v=103991,"Food & Drink, Nightlife, Show & Sport Tickets"
18007,470267,Pearl Harbor & Arizona Memorial Half-Day Tour,5h 30m,$41,//a.travel-assets.com/lxweb/media-vault/470267_l.jpeg?v=103991,Tours & Sightseeing
18007,387516,Atlantis IV Submarine Adventure,1h 30m,$124,//a.travel-assets.com/lxweb/media-vault/387516_l.jpeg?v=103991,Cruises & Water Tours
18007,381272,Sunset Cruise & 5-Course Dinner,2h,$149,//a.travel-assets.com/lxweb/media-vault/381272_l.jpeg?v=103991,"Cruises & Water Tours,Food & Drink, Nightlife"
18007,385422,Kualoa Treetop Canopy Zipline Tour,2h,$168,//a.travel-assets.com/lxweb/media-vault/385422_l.jpeg?v=103991,Adventures
18007,388064,Swim with Sharks Adventure,2h,$105,//a.travel-assets.com/lxweb/media-vault/388064_l.jpeg?v=103991,"Adventures, Water Activities"
18007,405422,Bishop Museum Admission,8h,$23,//a.travel-assets.com/lxweb/media-vault/405422_l.jpeg?v=103991,Attractions
18007,382152,Kayak Adventure to the Mokulua Islands,5h,$188,//a.travel-assets.com/lxweb/media-vault/382152_l.jpeg?v=103991,"Adventures, Water Activities"
18007,390598,Waikiki Parasail,1h,$48,//a.travel-assets.com/lxweb/media-vault/390598_l.jpeg?v=103991,Water Activities
18007,382922,Royal Crown of Oahu Helicopter Tour,1h,$295,//a.travel-assets.com/lxweb/media-vault/382922_l.jpeg?v=103991,"Air, Balloon & Helicopter Tours"
179995,419435,Isla Mujeres Catamaran Trip,7h,$82,//a.travel-assets.com/lxweb/media-vault/419435_l.jpeg?v=103991,"Water Activities, Cruises & Water Tours, Tours & Sightseeing"
179995,425709,Day Trip to the Walled City of Tulum & Zacil-Ha Cenote,5h,$40,//a.travel-assets.com/lxweb/media-vault/425709_l.jpeg?v=103991,"Attractions, Tours & Sightseeing"
179995,245013,Tulum Ruins & Tankah Eco-Adventure Park Excursion,8h,$95,//a.travel-assets.com/lxweb/media-vault/245013_l.jpeg?v=103991,"Attractions, Water Activities"
179995,189657,Interactive Dolphin Programs & Wet'n Wild Water Park Admission,1h,$89,//a.travel-assets.com/lxweb/media-vault/189657_l.jpeg?v=103991,"Attractions, Water Activities"
179995,414139,"ATV Xtreme, Cenote & Zipline Tour",5h,$118,//a.travel-assets.com/lxweb/media-vault/414139_l.jpeg?v=103991,"Attractions, Water Activities"
179995,450160,Maroma Jungle ATV Tour,45m,$77,//a.travel-assets.com/lxweb/media-vault/450160_l.jpeg?v=103991,Adventures
179995,276275,Jungle Speedboat Tour & Snorkeling,2h 30m,$70,//a.travel-assets.com/lxweb/media-vault/276275_l.jpeg?v=103991,"Adventures, Cruises & Water Tours"
179995,189647,Vegas-Style Show & Open Bar at Coco Bongo Nightclub,5h,$70,//a.travel-assets.com/lxweb/media-vault/189647_l.jpeg?v=103991,Nightlife
179995,430337,Jolly Roger Pirate Show & Dinner Cruise with Deluxe Open Bar,3h 30m,$95,//a.travel-assets.com/lxweb/media-vault/430337_l.jpeg?v=103991,"Cruises & Water Tours, Food & Drink"
179995,189831,"Tulum Xtreme Ruins, Cenote & Zipline Tour with Lunch",8h,$116,//a.travel-assets.com/lxweb/media-vault/189831_l.jpeg?v=103991,"Adventures, Tours & Sightseeing"
179995,458658,Adventure Combo Tour: Off-Road Games & Aquaworld Cancun,3h 30m,$138,//a.travel-assets.com/lxweb/media-vault/458658_l.jpeg?v=103991,"Adventures, Tours & Sightseeing"
179995,471800,Jungla Maya Native Park Zipline & Cenote Snorkeling Tour with Lunch,8h,$119,//a.travel-assets.com/lxweb/media-vault/471800_l.jpeg?v=103991,"Adventures, Water Activities"
179995,471802,Guided Tour to Emotions Native Park with ATV & Zipline Adventures,4h 30m,$99,//a.travel-assets.com/lxweb/media-vault/471802_l.jpeg?v=103991,"Adventures, Water Activities"
179995,234999,Xplor Fuego,6h,$99,//a.travel-assets.com/lxweb/media-vault/234999_l.jpeg?v=103991,"Adventures, Water Activities"
179995,238687,Chichén Itzá Express Tour,8h,$54,//a.travel-assets.com/lxweb/media-vault/238687_l.jpeg?v=103991,"Attractions, Tours & Sightseeing"
179995,415014,Snorkeling with Whale Sharks,7h,$175,//a.travel-assets.com/lxweb/media-vault/415014_l.jpeg?v=103991,"Attractions, Water Activities"
179995,402920,Xenses Park,5h,$69,//a.travel-assets.com/lxweb/media-vault/402920_l.jpeg?v=103991,"Adventures, Water Activities"
179995,419442,Private Catamaran Charter with Open Bar,4h,$520,//a.travel-assets.com/lxweb/media-vault/419442_l.jpeg?v=103991,"Private Tours, Water Activities"
178294,181173,Pirate's Dinner Adventure,2h,$49,//a.travel-assets.com/lxweb/media-vault/181173_l.jpeg?v=104026,Food & Drink
